"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 20 15:48:37 IST 2025","Wed Aug 20 15:48:37 IST 2025","151","Surefire suite","Surefire test","tests.BookingTests","tests.BookingTests","createBookingTest","createBookingTest","Verify booking API with multiple positive and negative scenarios"
"failed","Wed Aug 20 15:48:37 IST 2025","Wed Aug 20 15:48:37 IST 2025","104","Surefire suite","Surefire test","tests.BookingTests","tests.BookingTests","createBookingTest","createBookingTest","Verify booking API with multiple positive and negative scenarios"
"passed","Wed Aug 20 15:48:38 IST 2025","Wed Aug 20 15:48:38 IST 2025","697","Surefire suite","Surefire test","tests.BookingTests","tests.BookingTests","createBookingTest","createBookingTest","Verify booking API with multiple positive and negative scenarios"
"passed","Wed Aug 20 15:48:38 IST 2025","Wed Aug 20 15:48:38 IST 2025","108","Surefire suite","Surefire test","tests.BookingTests","tests.BookingTests","createBookingTest","createBookingTest","Verify booking API with multiple positive and negative scenarios"
"failed","Wed Aug 20 15:48:37 IST 2025","Wed Aug 20 15:48:37 IST 2025","102","Surefire suite","Surefire test","tests.BookingTests","tests.BookingTests","createBookingTest","createBookingTest","Verify booking API with multiple positive and negative scenarios"
"failed","Wed Aug 20 15:48:37 IST 2025","Wed Aug 20 15:48:37 IST 2025","99","Surefire suite","Surefire test","tests.BookingTests","tests.BookingTests","createBookingTest","createBookingTest","Verify booking API with multiple positive and negative scenarios"
"failed","Wed Aug 20 15:48:37 IST 2025","Wed Aug 20 15:48:38 IST 2025","101","Surefire suite","Surefire test","tests.BookingTests","tests.BookingTests","createBookingTest","createBookingTest","Verify booking API with multiple positive and negative scenarios"
